"Subject"|"Activity"|"Time_Body_Acceleration_mean_X"|"Time_Body_Acceleration_mean_Y"|"Time_Body_Acceleration_mean_Z"|"Time_Body_Acceleration_std_X"|"Time_Body_Acceleration_std_Y"|"Time_Body_Acceleration_std_Z"|"Time_Gravity_Acceleration_mean_X"|"Time_Gravity_Acceleration_mean_Y"|"Time_Gravity_Acceleration_mean_Z"|"Time_Gravity_Acceleration_std_X"|"Time_Gravity_Acceleration_std_Y"|"Time_Gravity_Acceleration_std_Z"|"Time_Body_Acceleration_Jerk_mean_X"|"Time_Body_Acceleration_Jerk_mean_Y"|"Time_Body_Acceleration_Jerk_mean_Z"|"Time_Body_Acceleration_Jerk_std_X"|"Time_Body_Acceleration_Jerk_std_Y"|"Time_Body_Acceleration_Jerk_std_Z"|"Time_Body_Gyro_mean_X"|"Time_Body_Gyro_mean_Y"|"Time_Body_Gyro_mean_Z"|"Time_Body_Gyro_std_X"|"Time_Body_Gyro_std_Y"|"Time_Body_Gyro_std_Z"|"Time_Body_Gyro_Jerk_mean_X"|"Time_Body_Gyro_Jerk_mean_Y"|"Time_Body_Gyro_Jerk_mean_Z"|"Time_Body_Gyro_Jerk_std_X"|"Time_Body_Gyro_Jerk_std_Y"|"Time_Body_Gyro_Jerk_std_Z"|"Freq_Body_Acceleration_mean_X"|"Freq_Body_Acceleration_mean_Y"|"Freq_Body_Acceleration_mean_Z"|"Freq_Body_Acceleration_std_X"|"Freq_Body_Acceleration_std_Y"|"Freq_Body_Acceleration_std_Z"|"Freq_Body_Acceleration_Jerk_mean_X"|"Freq_Body_Acceleration_Jerk_mean_Y"|"Freq_Body_Acceleration_Jerk_mean_Z"|"Freq_Body_Acceleration_Jerk_std_X"|"Freq_Body_Acceleration_Jerk_std_Y"|"Freq_Body_Acceleration_Jerk_std_Z"|"Freq_Body_Gyro_mean_X"|"Freq_Body_Gyro_mean_Y"|"Freq_Body_Gyro_mean_Z"|"Freq_Body_Gyro_std_X"|"Freq_Body_Gyro_std_Y"|"Freq_Body_Gyro_std_Z"
11|"LAYING"|0.23816469|-0.035765409|-0.1515343|-0.99916286|-0.99746575|-0.99657434|-0.16692822|0.93054555|0.032712344|-0.99906508|-0.99981806|-0.99925629|0.041511138|-0.016589687|-0.032532002|-0.99878444|-0.99490641|-0.99837889|-0.037102574|-0.090660791|0.049240926|-0.99895927|-1|-0.99785372|-0.14112815|-0.075318332|-0.16855058|-0.99869483|-0.99995528|-0.9979133|-0.99884848|-0.99571586|-0.99863449|-0.99932598|-0.99799322|-0.99618214|-0.99862273|-0.99554969|-0.99867866|-0.9991155|-0.99480339|-0.99679916|-0.99860486|-1|-0.99741654|-0.99905173|-1|-0.99825518
12|"LAYING"|-0.52106206|-0.041847849|-0.17634934|-0.99423024|-0.99550464|-0.99516662|-0.50689914|0.53753169|-0.22672472|-0.99803203|-0.99942091|-0.99811178|0.043814402|-0.30240812|-0.26881258|-0.99113731|-0.99240524|-0.99680037|-0.048378423|-0.56837515|0.04461331|-0.99541801|-0.99248927|-0.99364345|-0.16833602|-0.15929405|-0.22027145|-0.99511342|-0.99275313|-0.99432419|-0.99372091|-0.99259162|-0.99465046|-0.9949293|-0.99659837|-0.99502089|-0.9913417|-0.99205458|-0.99556698|-0.99227879|-0.99343978|-0.99663849|-0.99303651|-0.99093775|-0.99345368|-0.99621937|-0.99362804|-0.99417714
13|"LAYING"|0.15826707|-0.11262786|-0.13149682|-0.9976132|-1|-0.99699547|-0.32894296|0.37667391|0.20638744|-0.99933148|-1|-0.99902917|-0.056400622|-0.042874044|-0.29449695|-0.99723961|-0.99592477|-0.99619994|-0.042851045|-0.52639003|0.029490039|-0.99747181|-0.99651427|-0.99816096|-0.15705402|-0.16606457|-0.22582503|-0.99845769|-0.99578572|-0.99733421|-0.99720601|-0.99828237|-0.99622556|-0.99814241|-1|-0.99690968|-0.99718812|-0.99611805|-0.99488519|-0.99754647|-0.99593605|-0.99612341|-0.99711756|-0.99575332|-0.99751502|-0.99763128|-0.99708636|-0.9988251
14|"LAYING"|-1|-0.042674953|-0.13901039|-0.99377171|-0.98720172|-0.99125716|-0.28977505|0.37097431|0.62526149|-0.99733549|-0.99867822|-0.99811812|0.0016564891|-0.37721649|-0.72688113|-0.99441045|-0.99339769|-0.99412747|-0.051792472|-0.60332817|0.058066896|-0.9915434|-0.99119986|-0.99678562|-0.17616298|-0.25434022|-0.13962961|-0.9939099|-0.99535894|-0.99734458|-0.99357909|-0.98624508|-0.9915682|-0.99409728|-0.98744159|-0.99082836|-0.99401849|-0.99321094|-0.99283693|-0.99543094|-0.99434451|-0.99499648|-0.99065074|-0.99182348|-0.99595936|-0.99235867|-0.99077558|-0.99738672
15|"LAYING"|0.22878368|-0.043284644|-0.31970171|-1|-0.9980097|-0.99780141|-0.32052877|0.86325579|-0.37628277|-0.99936389|-0.99916557|-0.99832165|0.015349949|-0.11265857|-0.20770674|-0.99936585|-0.99421258|-0.99777873|-0.14450858|-0.23481903|0.018697431|-0.9981973|-0.99852482|-0.99854009|-0.15173974|-0.14491049|-0.14953232|-0.99717813|-0.99839241|-0.99789675|-1|-0.99577349|-0.99707758|-1|-0.9984859|-0.99762329|-0.99977578|-0.99443745|-0.99629726|-0.99900413|-0.99552338|-0.99798852|-0.9971636|-0.99810005|-0.99784249|-0.99855522|-0.99880641|-0.9990267
16|"LAYING"|0.10566507|-0.056556505|-0.16400991|-0.99544586|-0.99242784|-0.99767288|-0.37807119|-0.4962135|0.86433422|-0.99938014|-0.99529388|-0.99790974|0.045513526|-0.12973321|-0.26607582|-0.99429051|-0.99538161|-0.99678079|-0.1130773|-0.5654908|-0.11690087|-0.99501919|-0.99451738|-0.99779165|-0.16113171|-0.078028966|-0.11128615|-0.99439016|-0.99582908|-0.99864498|-0.99468971|-0.98881645|-0.996612|-0.99573871|-0.99417834|-0.99777233|-0.99427992|-0.99451122|-0.99513218|-0.99481459|-0.99703766|-0.99716619|-0.99234807|-0.99428573|-0.99806073|-0.99592726|-0.99462756|-0.99779424
17|"LAYING"|0.053574526|-0.058075114|-0.19047789|-0.99643784|-0.99489895|-0.99328898|-0.22970755|0.49709595|0.57902879|-0.99805074|-0.99610841|-0.9976798|-0.029583286|-0.40048326|-0.068614437|-0.99673579|-0.99765108|-0.99860718|-0.065834935|-0.59807819|0.054005828|-0.99770181|-0.99616998|-0.99896497|-0.19013968|-0.060985525|-0.14456582|-0.99731101|-0.99695087|-1|-0.99672423|-0.99218067|-0.99565534|-0.99636578|-0.99586473|-0.99305008|-0.99681271|-0.99747001|-0.99879882|-0.99691587|-0.99807818|-0.9976689|-0.99615325|-0.9962917|-0.99937239|-0.99835099|-0.99705879|-0.99881674
18|"LAYING"|0.21992077|-0.026211815|-0.11636903|-0.99737114|-0.99562978|-0.99616102|-0.26709058|0.52181961|0.33176016|-0.99984813|-0.99923923|-0.99847348|0.020364073|-0.0020769286|-0.02505855|-0.99470386|-0.99183547|-0.9976944|-0.0421644|-0.31206888|0.050709683|-0.99919504|-0.99624811|-0.99710355|-0.12170884|-0.050318233|-0.12118373|-0.99920089|-0.99856716|-0.99734361|-0.99627894|-0.9937533|-0.99666944|-0.99809248|-0.99649086|-0.99636987|-0.99457361|-0.99238464|-0.99700558|-0.99558678|-0.99300772|-0.9968823|-0.99874122|-0.99717459|-0.99667499|-0.99938744|-0.99624646|-0.99811551
19|"LAYING"|0.13587336|-0.040420009|-0.13555202|-0.99549964|-0.99652933|-0.99611598|-0.93673012|0.68374403|0.58566905|-0.99956024|-0.99926466|-0.99881886|0.0050814467|-0.043548414|-0.038101071|-0.99394334|-0.99227857|-0.99685796|-0.29386085|-0.4997898|0.039475876|-0.99783516|-0.99643742|-0.99531824|-0.11823046|-0.064472545|-0.16433776|-0.99568752|-0.99736635|-0.99575968|-0.99395984|-0.99464771|-0.99657149|-0.99633031|-0.99681048|-0.99647265|-0.99328362|-0.99273597|-0.99592551|-0.99550786|-0.99220569|-0.9976129|-0.99671044|-0.99590685|-0.99471589|-0.99857215|-0.99677562|-0.99590389
20|"LAYING"|-0.59200434|-0.063035304|-0.12899401|-0.99778946|-0.99664182|-0.9965172|-0.71293422|0.7600206|0.23142467|-0.99877661|-0.99935991|-0.99883224|0.032395781|-0.49448211|-0.11075436|-0.99651246|-0.99326673|-0.9963754|-0.062453206|-0.35628791|0.042311419|-0.99777329|-0.99346689|-0.99610039|-0.14164654|-0.1228472|-0.14356908|-0.99738081|-0.99681737|-0.99680014|-0.99698856|-0.99410745|-0.99625808|-0.99820033|-0.99740026|-0.99607895|-0.9960593|-0.99266205|-0.99557227|-0.99745098|-0.9946238|-0.99622158|-0.99642027|-0.99386981|-0.99436101|-0.99833823|-0.99316138|-0.99723722
21|"LAYING"|0.022459037|-0.056728123|-0.13069643|-0.99518105|-0.99477017|-0.99370688|-0.23155502|0.57136295|0.66369649|-0.99609877|-0.9983043|-0.99663808|0.0014800314|-0.085114464|-0.43124371|-0.99663919|-0.99554376|-0.99750645|-0.2288482|-0.63931629|-0.018426892|-0.99806547|-0.99144796|-0.99877761|-0.1582462|-0.071239919|-0.1480782|-0.99769037|-0.99558641|-0.99852833|-0.99446479|-0.99403467|-0.99590992|-0.99544483|-0.99559539|-0.9944769|-0.99638952|-0.9955456|-0.99665816|-0.99727282|-0.99635275|-0.99793894|-0.99667995|-0.98913565|-0.99836419|-0.99858886|-0.99349159|-0.99908268
22|"LAYING"|0.053458646|-0.1043544|-0.25605618|-0.99699705|-0.99664858|-0.99698592|-0.68352778|0.40846403|0.66719964|-0.99853129|-0.99914873|-0.99974886|-0.09768672|-0.43867442|-0.31696966|-0.99535409|-0.99368445|-0.99753533|-0.11733541|-0.4605308|-0.15305757|-0.99870923|-0.99941978|-0.99743051|-0.20196136|-0.11840818|-0.2248488|-0.99894627|-1|-0.99750611|-0.99601085|-0.99367716|-0.99796673|-0.99748768|-0.9978596|-0.99759361|-0.99561618|-0.99361018|-0.99648138|-0.9954238|-0.99480782|-0.99753231|-0.99832688|-0.99965599|-0.99668566|-0.99880132|-0.99951648|-0.99836375
23|"LAYING"|0.040197961|-0.08554648|-0.11948951|-0.9940789|-0.99494186|-0.99386525|-0.44774973|0.38422486|0.87960599|-0.99246067|-0.99803534|-0.99876999|0.030470621|-0.0020299731|-0.16371366|-0.99136128|-0.99468603|-0.99462447|-0.03837594|-0.48671887|0.051958271|-0.99488619|-0.98415363|-0.99904967|-0.15012327|-0.097552092|-0.15252868|-0.99347546|-0.9882432|-0.99819006|-0.99187881|-0.99356449|-0.99322589|-0.99521467|-0.99540633|-0.9944512|-0.99101234|-0.99480232|-0.99371385|-0.99268825|-0.99511362|-0.99429394|-0.9933889|-0.9832652|-0.99859979|-0.99604357|-0.98555389|-0.99944237
24|"LAYING"|-0.028548375|-0.029929447|-0.12959807|-0.99407169|-0.99575729|-0.99193917|-0.47737335|0.68918869|0.63002074|-0.99296063|-0.99981954|-0.99831805|0.049811813|-0.027897358|-0.23555723|-0.99551196|-0.99372715|-0.99547137|-0.040243445|-0.27544228|0.047419383|-0.99498882|-0.9873031|-0.99877478|-0.1457589|-0.093693745|-0.16091887|-0.99193125|-0.99163568|-0.99810444|-0.99275043|-0.99336701|-0.9928207|-0.99465488|-0.99696819|-0.99176813|-0.99440704|-0.99384449|-0.99410464|-0.99756406|-0.99467311|-0.99617265|-0.99233982|-0.98610101|-0.99840209|-0.99609344|-0.98844178|-0.99903373
25|"LAYING"|-0.50382267|-1|-0.92598834|-0.99744357|-0.99670839|-0.99498922|-1|-0.53522237|-0.45707211|-0.99650292|-0.99931601|-0.99834167|-0.11147098|-0.70810948|-0.75936431|-0.99763815|-0.99174901|-0.99301613|-0.45311426|-0.19060999|-0.32729711|-0.99824456|-0.99441681|-0.99721874|-0.30566797|-0.18845284|-0.272355|-0.99798422|-0.99822595|-0.99785405|-0.99669547|-0.99396281|-0.99333178|-0.99784551|-0.99762988|-0.99706357|-0.99792132|-0.9919811|-0.99260186|-0.99747267|-0.99236871|-0.99297825|-0.9979366|-0.99529649|-0.99683684|-0.9986764|-0.99404977|-0.99756848
26|"LAYING"|0.0011888261|-0.056986|-0.11483328|-0.99598753|-0.99746425|-0.99677561|-0.7229896|0.7484647|0.56154452|-0.99838664|-0.99980495|-0.99950142|0.034680255|-0.070155821|-0.18416512|-0.99658643|-0.99587781|-0.99542759|-0.03780722|-0.26942695|0.04427795|-0.99890836|-0.99506951|-0.99890651|-0.12958558|-0.069251198|-0.20090116|-0.99827904|-0.99537499|-0.99831959|-0.99539314|-0.99643814|-0.99583679|-0.99650286|-0.99853521|-0.99751746|-0.99636691|-0.99586752|-0.99352779|-0.99776578|-0.99617661|-0.99616646|-0.99817691|-0.9946263|-0.99833098|-0.99917758|-0.99600528|-0.99927646
27|"LAYING"|0.16608325|-0.038707492|-0.1274975|-0.99562305|-0.99702926|-0.99805327|-0.58002766|0.52371576|0.81925515|-0.99928593|-0.99949167|-1|-0.0045089222|-0.0038910404|-0.04231587|-0.99474048|-0.99521029|-0.99608653|-0.045250885|-0.50070359|0.04989355|-0.99826928|-0.99847273|-0.99864448|-0.17432468|-0.051988881|-0.14460946|-0.99857723|-0.99882692|-0.9982336|-0.9955482|-0.99547921|-0.99786389|-0.99609877|-0.99730565|-0.99790793|-0.99561228|-0.99541046|-0.99523465|-0.99434458|-0.99591681|-0.99661197|-0.99818435|-0.99828658|-0.99834367|-0.99844795|-0.99875147|-0.99902643
28|"LAYING"|0.14310538|-0.059110183|-0.18175089|-0.99794195|-0.99737151|-0.99546199|-0.75461878|-0.44361596|-1|-0.99833109|-0.99739354|-0.99933749|0.037726735|-0.1138204|-0.083009184|-0.99753193|-0.99571904|-0.99673734|-0.054641259|-0.66568917|-0.60232037|-0.99619806|-0.99850524|-0.99977069|-0.20102045|-0.068006172|-0.15962262|-0.99638888|-0.99886475|-0.99929985|-0.99750262|-0.99597375|-0.99542212|-0.99812659|-0.99727392|-0.99590612|-0.99727865|-0.99539662|-0.99513531|-0.99861042|-0.9970443|-0.99705673|-0.99451421|-0.99835495|-0.99951483|-0.99687483|-0.99855457|-0.99999057
29|"LAYING"|0.24542725|-0.036804125|-0.16803363|-0.99713411|-0.99717179|-0.99966678|-0.48141191|0.76072794|0.53119464|-0.99942504|-0.99971769|-0.99971762|-0.025376801|-0.00092422716|-0.031804867|-0.99663712|-0.99610146|-0.99852937|-0.10684176|-0.34316209|0.043712917|-0.99910911|-0.99852483|-0.99891542|-0.13743381|-0.052025362|-0.16703671|-0.99890092|-0.99956973|-0.99783796|-0.99652313|-0.99567174|-0.99932607|-0.99739335|-0.99779593|-0.99983425|-0.99724243|-0.99586376|-0.99923149|-0.99674068|-0.99699642|-0.99736319|-0.99885054|-0.99892194|-0.99831737|-0.99923461|-0.99880606|-0.99940949
30|"LAYING"|0.21541736|-0.059885719|-0.1206382|-0.99720275|-0.99848289|-0.99863097|-0.47357709|0.62863284|0.58724067|-0.99905436|-0.9994395|-0.99870339|0.025582127|-0.08781839|-0.043531075|-0.99838901|-0.99589897|-0.99585706|-0.099868853|-0.30569792|0.013701101|-0.99899429|-0.99640563|-0.99910985|-0.21387748|-0.060536901|-0.13182415|-0.99951573|-0.99868878|-0.99891847|-0.99685238|-0.99678026|-0.9980562|-0.99769992|-0.99854019|-0.99933508|-0.99802743|-0.99562567|-0.99537291|-0.99904874|-0.99657822|-0.9959633|-0.99867184|-0.99731642|-0.99913497|-0.99907445|-0.9958507|-0.99965324
1|"SITTING"|-0.041701306|-0.037455064|-0.20554844|-0.99796584|-0.99578152|-0.9986534|0.6182581|0.042479149|0.2216238|-0.9993426|-0.99837049|-0.99950383|-0.013591322|-0.34777099|-0.33527233|-0.99740715|-0.99758064|-0.9989028|-0.22503946|-0.29911474|-0.59416576|-1|-0.99769126|-0.99604761|-0.18174043|-0.089832089|-0.15063907|-0.99950847|-0.99817308|-0.99835245|-0.9976675|-0.99340829|-0.99818451|-0.99825588|-0.99697932|-0.99979133|-0.99787206|-0.99692442|-0.99841352|-0.99801482|-0.99876192|-0.99834129|-1|-0.99700581|-0.99633256|-1|-0.99827154|-0.99684885
2|"SITTING"|0.23157481|-0.15839475|-0.34597805|-0.99859653|-0.99363656|-0.99348617|0.88854581|-0.16212082|0.034019738|-0.9997964|-0.99858765|-0.99725232|-0.091462961|-0.13842716|-0.067240889|-0.99810136|-0.99168063|-0.99591241|-0.2445337|-0.13301736|-0.79897208|-0.99822217|-0.99719179|-0.99715308|-0.10511075|-0.064243977|-0.11955963|-0.99729181|-0.99836639|-0.99566202|-0.9981015|-0.99101712|-0.99139739|-0.99902339|-0.99458788|-0.99532755|-0.99779481|-0.9919744|-0.99527276|-0.99869875|-0.99361876|-0.99597365|-0.99713281|-0.99674258|-0.99559292|-0.99860942|-0.99747062|-0.99828197
3|"SITTING"|-0.18139412|-0.11349946|-0.26823801|-0.99929993|-0.99761552|-0.99238299|0.57009544|-0.02709217|-0.13541154|-0.99940831|-0.99979377|-0.99937691|-0.0088919184|-0.39592255|-0.31484469|-0.9974756|-0.9945095|-0.99577443|-0.17435423|-0.27942087|-0.39680911|-0.99788607|-0.99598398|-0.99673233|-0.49032647|-0.14682796|-0.17168727|-0.99640111|-0.99663095|-0.99708614|-0.99887407|-0.99538864|-0.99215972|-0.99954949|-0.99810001|-0.99461385|-0.99714987|-0.99437016|-0.99438941|-0.9981482|-0.99567047|-0.99577296|-0.99685526|-0.9954794|-0.99572182|-0.99827279|-0.99641024|-0.99752846
4|"SITTING"|0.079402186|-0.072470086|-0.21074605|-0.99632569|-0.98999456|-0.98272233|0.69805338|-0.058979938|0.015390276|-0.99950054|-0.99894146|-0.99667579|-0.015380868|-0.57209822|-0.47980454|-0.99569695|-0.99081234|-0.99670828|-0.37882339|-0.2822398|-0.36796262|-0.9957958|-0.99387182|-0.99582895|-0.24900473|-0.10705194|-0.10943187|-0.99538082|-0.99802116|-0.99766119|-0.99625703|-0.98779677|-0.99020513|-0.99632962|-0.99110313|-0.98079017|-0.99595914|-0.99119722|-0.99609146|-0.99577063|-0.99210975|-0.99609544|-0.99379934|-0.995561|-0.99594905|-0.99644747|-0.99389137|-0.99605232
5|"SITTING"|0.12080064|-0.10000638|-0.20239962|-0.99837073|-0.99490856|-0.99430282|0.66003554|-0.070909035|-0.059724855|-0.99925871|-0.99948954|-0.99527272|0.029917014|-0.5186867|-0.10313233|-0.99677797|-0.99113614|-0.99434557|-0.24681677|-0.19171318|-0.54888222|-0.99307126|-0.98989001|-0.99479114|-0.11585489|-0.16381276|-0.14216728|-0.98880842|-0.99423109|-0.99040928|-0.9975864|-0.99187078|-0.99383262|-0.99880693|-0.99682029|-0.99419013|-0.99679249|-0.99020571|-0.99278912|-0.9970369|-0.99313314|-0.99589275|-0.9906872|-0.99186308|-0.99280732|-0.99450753|-0.99051038|-0.99611638
